game_id,winner_bot,loser_bot,draws,sente_bot,total_steps,winner_character,winner_steps
1,1,2,N/A,2,6,O,3
2,1,2,N/A,1,9,X,5
3,2,1,N/A,1,6,O,3
4,2,1,N/A,1,6,O,3
5,2,1,N/A,2,5,X,3
6,1,2,N/A,2,6,O,3
7,2,1,N/A,1,6,O,3
8,2,1,N/A,1,8,O,4
9,1,2,N/A,1,7,X,4
10,2,1,N/A,2,5,X,3
11,2,1,N/A,2,5,X,3
12,2,1,N/A,2,5,X,3
13,2,1,N/A,2,5,X,3
14,2,1,N/A,1,8,O,4
15,2,1,N/A,1,8,O,4
16,2,1,N/A,2,5,X,3
17,2,1,N/A,2,5,X,3
18,2,1,N/A,2,9,X,5
19,2,1,N/A,1,6,O,3
20,1,2,N/A,1,7,X,4
21,2,1,N/A,1,8,O,4
22,2,1,N/A,2,5,X,3
23,2,1,N/A,2,9,X,5
24,1,2,N/A,1,9,X,5
25,1,2,N/A,1,7,X,4
26,2,1,N/A,2,5,X,3
27,2,1,N/A,1,6,O,3
28,2,1,N/A,2,5,X,3
29,1,2,N/A,2,8,O,4
30,1,2,N/A,1,7,X,4
31,1,2,N/A,2,8,O,4
32,1,2,N/A,2,6,O,3
33,2,1,N/A,2,7,X,4
34,2,1,N/A,1,6,O,3
35,1,2,N/A,1,9,X,5
36,2,1,N/A,2,9,X,5
37,2,1,N/A,2,5,X,3
38,1,2,N/A,2,8,O,4
39,2,1,N/A,1,6,O,3
40,2,1,N/A,1,6,O,3
41,2,1,N/A,2,5,X,3
42,1,2,N/A,1,9,X,5
43,2,1,N/A,1,6,O,3
44,2,1,N/A,1,6,O,3
45,2,1,N/A,2,5,X,3
46,2,1,N/A,2,5,X,3
47,1,2,N/A,1,7,X,4
48,2,1,N/A,2,5,X,3
49,N/A,N/A,YES,2,9,N/A,N/A
50,2,1,N/A,2,5,X,3
51,1,2,N/A,2,8,O,4
52,1,2,N/A,2,6,O,3
53,1,2,N/A,2,8,O,4
54,2,1,N/A,2,5,X,3
55,1,2,N/A,1,9,X,5
56,2,1,N/A,2,5,X,3
57,2,1,N/A,2,5,X,3
58,2,1,N/A,2,7,X,4
59,1,2,N/A,1,7,X,4
60,2,1,N/A,2,5,X,3
61,1,2,N/A,1,7,X,4
62,1,2,N/A,1,9,X,5
63,1,2,N/A,2,6,O,3
64,2,1,N/A,2,5,X,3
65,2,1,N/A,2,5,X,3
66,2,1,N/A,1,8,O,4
67,N/A,N/A,YES,1,8,N/A,N/A
68,2,1,N/A,2,5,X,3
69,2,1,N/A,2,5,X,3
70,2,1,N/A,1,8,O,4
71,1,2,N/A,1,7,X,4
72,2,1,N/A,2,9,X,5
73,1,2,N/A,1,5,X,3
74,1,2,N/A,1,7,X,4
75,2,1,N/A,1,6,O,3
76,2,1,N/A,2,5,X,3
77,1,2,N/A,1,9,X,5
78,1,2,N/A,1,9,X,5
79,2,1,N/A,1,6,O,3
80,2,1,N/A,1,6,O,3
81,1,2,N/A,2,8,O,4
82,2,1,N/A,1,6,O,3
83,2,1,N/A,1,6,O,3
84,2,1,N/A,1,6,O,3
85,2,1,N/A,2,5,X,3
86,2,1,N/A,2,5,X,3
87,1,2,N/A,2,8,O,4
88,2,1,N/A,2,5,X,3
89,2,1,N/A,2,5,X,3
90,2,1,N/A,1,6,O,3
91,1,2,N/A,1,7,X,4
92,2,1,N/A,2,9,X,5
93,1,2,N/A,1,9,X,5
94,2,1,N/A,2,5,X,3
95,1,2,N/A,1,7,X,4
96,2,1,N/A,2,5,X,3
97,2,1,N/A,2,5,X,3
98,1,2,N/A,1,5,X,3
99,1,2,N/A,1,7,X,4
100,1,2,N/A,1,5,X,3
